PID,Sale_Price
910251050,61106.3
907202220,131085.7
534430090,128369.9
535126100,155866.9
528445070,248249.3
908103350,138093.0
533127080,316675.6
531385060,189836.6
533213030,264198.8
528118010,372353.7
534276180,132673.9
904351200,111523.6
527182190,228779.8
902301130,117108.1
902456015,79509.4
907130060,167157.6
534201250,166543.1
535327230,113833.2
534400290,165436.1
905100020,147131.7
907254050,215476.9
907202160,161590.7
911103060,120172.8
909101190,95889.8
905377050,83287.0
905103180,143371.0
533215020,304455.1
923202137,103333.3
916176125,190952.2
528480020,233766.2
907227090,109695.8
528482030,257933.2
527451400,81635.9
905103060,169371.9
527405130,111049.7
906203120,284320.2
528321010,377334.4
908152280,162135.9
528344020,318653.8
531450030,187632.5
906378170,230011.4
527402090,120646.9
923275010,146779.5
535451250,140609.5
907202050,146345.3
902326060,168492.7
528228455,180151.8
903204030,138078.3
902207140,116210.0
907253130,346804.2
923225440,84766.1
528431080,208452.4
528480130,215238.9
903234220,129053.4
527107030,189469.5
902108060,102874.6
907200130,115151.2
534427140,145501.7
528441090,479719.3
528290030,163006.0
535180100,144225.2
534402140,157044.1
902207110,61832.6
526355170,214052.4
908276140,95101.5
906380200,189697.3
906380220,241502.1
527302175,147883.8
907262020,196620.5
902405120,120176.8
535126180,208655.1
528346050,326278.3
923426010,136225.7
528180120,339755.0
535150240,111489.7
535152130,137265.2
535457020,160919.9
528275070,244003.2
907420110,175336.4
907202140,136760.0
909275250,146348.8
903427120,151111.1
535350030,153000.0
907201160,147342.3
909276160,300368.5
533221110,177017.8
528120010,281125.5
909455040,182090.6
528106060,333773.8
923202005,203040.1
534252240,159157.4
534276190,107186.8
526302110,116803.6
535376100,108534.5
905477050,133631.9
528181060,206057.7
533253030,200274.1
914476050,132434.5
535105100,169271.1
528186120,294804.5
923276250,216377.4
911104060,73117.7
533254100,176224.6
535403030,133718.0
527405180,121345.0
905427140,200116.2
904100030,146938.6
532353130,137486.5
528118030,428179.0
533213010,236767.5
916475100,334351.7
534401190,158196.9
924151040,270730.4
535154080,146171.5
527107040,173721.1
528235090,212013.5
902136110,104172.7
527354100,194851.6
528429130,293154.0
527364030,247232.9
907253110,244253.8
528174020,198842.6
531363020,139707.9
907200290,139629.3
907414030,199705.2
905300010,143460.0
535455080,115496.3
533251130,210697.1
909250220,179803.0
528228430,185312.2
528490070,207967.5
532351150,123194.0
527301280,155849.2
907203090,122086.2
535457010,150414.7
528166150,369266.2
905226050,154864.7
534175140,144296.5
528221100,169952.4
909176140,162341.7
527164120,203644.6
531375110,157875.3
535383110,94278.8
535451110,136156.1
903454010,131746.4
910200060,133120.7
528431060,240612.8
909250080,105446.7
527425025,107822.4
528106050,457482.1
916477060,257190.7
527276150,116812.0
905452040,163746.5
907285040,276132.5
533234020,224653.2
535354100,136548.8
923201020,136828.0
527451060,99749.8
531452180,190535.8
528228325,181836.1
902329030,166676.1
908102020,132800.4
903204010,140423.2
908102170,164490.8
527454120,141955.5
535478040,134003.9
906340130,365635.4
527455240,118953.8
923275140,114417.5
527354040,229896.1
907410110,216350.8
535352080,113363.7
528322020,361091.4
533135020,240789.6
528172060,247101.8
533238045,279666.3
906201021,163265.0
916403020,199620.6
527210050,345784.3
903232170,73290.0
528477020,262821.9
528114050,376471.0
905103030,154833.1
535451050,117758.7
535378080,123407.5
903233100,125590.4
534451150,79452.2
533244040,341820.7
532376070,121250.8
907275150,324940.9
528228450,188044.2
527403310,164758.3
534250300,186673.5
905475150,133517.6
527226020,158739.3
528290190,167519.5
906394020,205515.6
903400220,162986.5
535175030,158127.8
906385010,223221.9
907405130,194767.5
908152260,143867.1
534427090,129422.5
906380030,235755.6
905475500,71159.6
902405070,189142.9
531376070,169774.7
534278170,142081.9
903201080,155767.8
534202030,154317.1
904100140,236363.9
909426080,156131.4
909177100,106884.9
527402240,167009.4
533236060,193285.7
907414080,176718.7
905104180,134053.6
527302020,219997.1
534278190,122638.1
531452140,149654.3
916125425,207319.2
908275200,107381.5
527455250,129750.8
528477030,220488.2
528172030,264328.1
535476350,199331.5
528188090,165605.6
902305110,115037.4
902109010,100243.8
903231190,104248.2
902201090,136031.9
534176140,167153.5
535179020,182040.8
528228435,185085.5
531375140,159537.7
903484110,125315.9
534278070,165163.7
907200250,159401.3
526353050,224180.5
528427100,266328.1
923228210,84604.8
534152070,216207.5
528365060,333287.8
535450210,128376.1
916326040,175330.4
534151120,286331.4
528348010,249084.8
535300040,135188.1
535452100,106714.6
903202120,133590.5
535475020,156924.9
531375120,160599.3
914478045,153779.6
905478220,151587.7
909250230,214157.6
910205010,139673.1
916252170,210337.5
903430060,94329.7
907280100,266850.0
535425040,185407.2
528172080,266740.8
903456090,71013.4
533215070,261518.2
905402070,107487.3
909425180,183908.6
902329080,128361.4
902303100,154174.3
534450150,73709.7
534455080,156971.5
528120170,301834.7
534200030,121825.0
533352170,151319.2
908102270,146869.8
903231180,114635.5
907410050,206817.6
923225260,152487.6
535325460,203291.0
905101310,105116.8
535101120,121947.0
534451130,95454.9
531450090,182631.3
906201030,163837.9
909256020,95976.1
534129040,163890.6
527166030,177737.5
527455270,120791.4
527450010,108502.1
535152200,162885.7
535375050,137221.2
907227300,121509.8
905452140,136289.1
527250040,109439.0
533241010,177251.6
907200170,132303.6
906426090,172557.0
907405030,228750.1
535325450,127897.0
535426195,205917.6
905103140,163082.6
903232100,142724.8
907180120,202040.2
527425110,116311.3
527165170,171468.5
907125120,139483.3
916460020,189122.5
